Total Bill,Tip,Tip Percent
16.99,1.01,5.9
10.34,1.66,16.1
21.01,3.5,16.7
23.68,3.31,14.0
24.59,3.61,14.7
25.29,4.71,18.6
8.77,2.0,22.8
26.88,3.12,11.6
15.04,1.96,13.0
14.78,3.23,21.9
10.27,1.71,16.7
35.26,5.0,14.2
15.42,1.57,10.2
18.43,3.0,16.3
14.83,3.02,20.4
21.58,3.92,18.2
10.33,1.67,16.2
16.29,3.71,22.8
16.97,3.5,20.6
20.65,3.35,16.2
17.92,4.08,22.8
20.29,2.75,13.6
15.77,2.23,14.1
39.42,7.58,19.2
19.82,3.18,16.0
17.81,2.34,13.1
13.37,2.0,15.0
12.69,2.0,15.8
21.7,4.3,19.8
19.65,3.0,15.3
9.55,1.45,15.2
18.35,2.5,13.6
15.06,3.0,19.9
20.69,2.45,11.8
17.78,3.27,18.4
24.06,3.6,15.0
16.31,2.0,12.3
16.93,3.07,18.1
18.69,2.31,12.4
31.27,5.0,16.0
16.04,2.24,14.0
17.46,2.54,14.5
13.94,3.06,22.0
9.68,1.32,13.6
30.4,5.6,18.4
18.29,3.0,16.4
22.23,5.0,22.5
32.4,6.0,18.5
28.55,2.05,7.2
18.04,3.0,16.6
12.54,2.5,19.9
10.29,2.6,25.3
34.81,5.2,14.9
9.94,1.56,15.7
25.56,4.34,17.0
19.49,3.51,18.0
38.01,3.0,7.9
26.41,1.5,5.7
11.24,1.76,15.7
48.27,6.73,13.9
20.29,3.21,15.8
13.81,2.0,14.5
11.02,1.98,18.0
18.29,3.76,20.6
17.59,2.64,15.0
20.08,3.15,15.7
16.45,2.47,15.0
3.07,1.0,32.6
20.23,2.01,9.9
15.01,2.09,13.9
12.02,1.97,16.4
17.07,3.0,17.6
26.86,3.14,11.7
25.28,5.0,19.8
14.73,2.2,14.9
10.51,1.25,11.9
17.92,3.08,17.2
27.2,4.0,14.7
22.76,3.0,13.2
17.29,2.71,15.7
19.44,3.0,15.4
16.66,3.4,20.4
10.07,1.83,18.2
32.68,5.0,15.3
15.98,2.03,12.7
34.83,5.17,14.8
13.03,2.0,15.3
18.28,4.0,21.9
24.71,5.85,23.7
21.16,3.0,14.2
28.97,3.0,10.4
22.49,3.5,15.6
5.75,1.0,17.4
16.32,4.3,26.3
22.75,3.25,14.3
40.17,4.73,11.8
27.28,4.0,14.7
12.03,1.5,12.5
21.01,3.0,14.3
12.46,1.5,12.0
11.35,2.5,22.0
15.38,3.0,19.5
44.3,2.5,5.6
22.42,3.48,15.5
20.92,4.08,19.5
15.36,1.64,10.7
20.49,4.06,19.8
25.21,4.29,17.0
18.24,3.76,20.6
14.31,4.0,28.0
14.0,3.0,21.4
7.25,1.0,13.8
38.07,4.0,10.5
23.95,2.55,10.6
25.71,4.0,15.6
17.31,3.5,20.2
29.93,5.07,16.9
10.65,1.5,14.1
12.43,1.8,14.5
24.08,2.92,12.1
11.69,2.31,19.8
13.42,1.68,12.5
14.26,2.5,17.5
15.95,2.0,12.5
12.48,2.52,20.2
29.8,4.2,14.1
8.52,1.48,17.4
14.52,2.0,13.8
11.38,2.0,17.6
22.82,2.18,9.6
19.08,1.5,7.9
20.27,2.83,14.0
11.17,1.5,13.4
12.26,2.0,16.3
18.26,3.25,17.8
8.51,1.25,14.7
10.33,2.0,19.4
14.15,2.0,14.1
16.0,2.0,12.5
13.16,2.75,20.9
17.47,3.5,20.0
34.3,6.7,19.5
41.19,5.0,12.1
27.05,5.0,18.5
16.43,2.3,14.0
8.35,1.5,18.0
18.64,1.36,7.3
11.87,1.63,13.7
9.78,1.73,17.7
7.51,2.0,26.6
14.07,2.5,17.8
13.13,2.0,15.2
17.26,2.74,15.9
24.55,2.0,8.1
19.77,2.0,10.1
29.85,5.14,17.2
48.17,5.0,10.4
25.0,3.75,15.0
13.39,2.61,19.5
16.49,2.0,12.1
21.5,3.5,16.3
12.66,2.5,19.7
16.21,2.0,12.3
13.81,2.0,14.5
17.51,3.0,17.1
24.52,3.48,14.2
20.76,2.24,10.8
31.71,4.5,14.2
10.59,1.61,15.2
10.63,2.0,18.8
50.81,10.0,19.7
15.81,3.16,20.0
7.25,5.15,71.0
31.85,3.18,10.0
16.82,4.0,23.8
32.9,3.11,9.5
17.89,2.0,11.2
14.48,2.0,13.8
9.6,4.0,41.7
34.63,3.55,10.3
34.65,3.68,10.6
23.33,5.65,24.2
45.35,3.5,7.7
23.17,6.5,28.1
40.55,3.0,7.4
20.69,5.0,24.2
20.9,3.5,16.7
30.46,2.0,6.6
18.15,3.5,19.3
23.1,4.0,17.3
15.69,1.5,9.6
19.81,4.19,21.2
28.44,2.56,9.0
15.48,2.02,13.0
16.58,4.0,24.1
7.56,1.44,19.0
10.34,2.0,19.3
43.11,5.0,11.6
13.0,2.0,15.4
13.51,2.0,14.8
18.71,4.0,21.4
12.74,2.01,15.8
13.0,2.0,15.4
16.4,2.5,15.2
20.53,4.0,19.5
16.47,3.23,19.6
26.59,3.41,12.8
38.73,3.0,7.7
24.27,2.03,8.4
12.76,2.23,17.5
30.06,2.0,6.7
25.89,5.16,19.9
48.33,9.0,18.6
13.27,2.5,18.8
28.17,6.5,23.1
12.9,1.1,8.5
28.15,3.0,10.7
11.59,1.5,12.9
7.74,1.44,18.6
30.14,3.09,10.3
12.16,2.2,18.1
13.42,3.48,25.9
8.58,1.92,22.4
15.98,3.0,18.8
13.42,1.58,11.8
